Month;Group;Sports;Result type;Bet slip count 1;No. of bets 1;Bet count;Cancelled;Payback;Won;Total stake;Profit;profit-rate;Bonus;Paid out;Theoretic margin
ene-21;Football - Champions League - Champions League;Football;Both teams to score?;0;0;4;0,00 €;0,00 €;0,00 €;0,11 €;0,11 €;100.00%;0,00 €;0,00 €;0,04 €  /  0,11 €  ( 40.16% )
ene-21;Basketball - England - BBL;Basketball;Over/under points in halftime for team;2;2;2;0,00 €;0,00 €;0,00 €;19,05 €;19,05 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Switzerland - Super League;Football;Double chance First Half;2;2;20;0,27 €;0,00 €;0,31 €;0,77 €;0,46 €;59.43%;0,00 €;0,31 €;0,23 €  /  0,77 €  ( 30.05% )
ene-21;Football - Switzerland - Super League;Football;Halftime - Over/Under Bet;3;3;7;0,00 €;0,00 €;18,50 €;15,87 €;-2,63 €;-16.56% ;0,03 €;18,53 €;0,29 €  /  1,55 €  ( 18.39% )
ene-21;Football - New Zealand - Premiership;Football;Correct score;1;1;2;0,00 €;0,00 €;0,00 €;1,20 €;1,20 €;100.00%;0,00 €;0,00 €;0,01 €  /  0,04 €  ( 21.93% )
ene-21;Football - New Zealand - Premiership;Football;3-Way;83;86;193;0,00 €;0,24 €;286,48 €;300,16 €;13,45 €;4.48%;0,06 €;286,77 €;13,00 €  /  73,40 €  ( 17.71% )
ene-21;Football - New Zealand - Premiership;Football;How many goals will team X score?;1;1;1;0,00 €;0,00 €;17,37 €;11,58 €;-5,79 €;-50.00% ;0,00 €;17,37 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Ice Hockey - Russia - VHL-B;Ice Hockey;Do both teams score minimum X goals?;1;1;1;0,00 €;0,00 €;0,34 €;0,23 €;-0,10 €;-45.00% ;0,00 €;0,34 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Lithuania - LKL;Basketball;Over/Under points in Quarter;31;31;32;0,00 €;0,00 €;985,36 €;753,43 €;-231,94 €;-30.78% ;0,00 €;985,36 €;0,66 €  /  3,12 €  ( 21.04% )
ene-21;Basketball - Lithuania - LKL;Basketball;Over/under points in quarter for team;1;1;1;0,00 €;0,00 €;40,54 €;23,16 €;-17,37 €;-75.00% ;0,00 €;40,54 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Lithuania - LKL;Basketball;Over/Under per team;1;1;1;0,00 €;0,00 €;0,00 €;13,20 €;13,20 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Poland - 2. League;Basketball;Quarter Winner;1;1;1;0,00 €;0,00 €;0,00 €;23,16 €;23,16 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Spain - Segunda Division RFEF, Gr. I;Football;Who wins the half?;7;7;12;0,00 €;0,00 €;1,30 €;38,03 €;36,73 €;96.59%;0,00 €;1,30 €;0,07 €  /  0,72 €  ( 10.29% )
ene-21;Football - Spain - Segunda Division RFEF, Gr. I;Football;3-Way;70;71;363;0,00 €;2,61 €;162,28 €;330,95 €;166,06 €;50.58%;0,98 €;165,87 €;5,04 €  /  103,96 €  ( 4.85% )
ene-21;Football - Spain - Segunda Division RFEF, Gr. II;Football;Over/Under goals in match;20;20;56;0,00 €;0,00 €;222,63 €;150,32 €;-72,31 €;-48.10% ;0,00 €;222,63 €;6,02 €  /  32,32 €  ( 18.62% )
ene-21;Football - Spain - Segunda Division RFEF, Gr. II;Football;3-Way;90;91;382;0,00 €;0,00 €;113,11 €;247,11 €;133,99 €;54.22%;0,44 €;113,55 €;13,52 €  /  80,52 €  ( 16.80% )
ene-21;Volleyball - France - Ligue A;Volleyball;Number of sets played;1;1;1;0,00 €;0,00 €;0,00 €;8,07 €;8,07 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Israel - Super League;Basketball;Over/Under points in Match;16;16;20;0,00 €;0,00 €;177,14 €;215,35 €;38,21 €;17.74%;0,00 €;177,14 €;0,05 €  /  0,08 €  ( 61.26% )
ene-21;Basketball - Israel - Super League;Basketball;Over/under points in quarter for team;1;1;1;0,00 €;0,00 €;0,00 €;23,16 €;23,16 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Israel - Super League;Basketball;Over/Under per team;0;0;1;0,00 €;0,00 €;0,00 €;0,01 €;0,01 €;100.00%;0,00 €;0,00 €;0,01 €  /  0,01 €  ( 76.42% )
ene-21;Football - Brazil - Carioca, Serie B2;Football;Who wins the half?;1;1;3;0,00 €;0,00 €;1,46 €;15,09 €;13,63 €;90.36%;0,00 €;1,46 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Volleyball - Turkey - Efeler Ligi;Volleyball;Number of sets played;2;2;2;0,00 €;0,00 €;2,13 €;23,16 €;21,04 €;90.81%;0,00 €;2,13 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Croatia - Premijer Liga;Basketball;Match Winner;22;22;67;0,00 €;0,00 €;388,91 €;351,80 €;-37,11 €;-10.55% ;1,43 €;390,34 €;6,32 €  /  15,64 €  ( 40.40% )
ene-21;Volleyball - Turkey - Sultanlar Ligi, Women;Volleyball;2-Way;6;6;22;25,50 €;0,00 €;4,04 €;66,17 €;62,13 €;93.89%;0,00 €;4,04 €;1,29 €  /  12,98 €  ( 9.95% )
ene-21;Handball - International - Champions League, Group A;Handball;3-Way;0;0;1;0,00 €;0,00 €;0,00 €;0,35 €;0,35 €;100.00%;0,00 €;0,00 €;0,13 €  /  0,35 €  ( 38.42% )
ene-21;Handball - International - Champions League, Group B;Handball;Double chance;0;0;1;0,00 €;0,00 €;0,00 €;0,35 €;0,35 €;100.00%;0,00 €;0,00 €;0,13 €  /  0,35 €  ( 38.42% )
ene-21;Football - Albania - Kategoria Superiore;Football;Double chance;4;4;17;0,00 €;0,00 €;66,96 €;21,01 €;-45,95 €;-218.71% ;0,12 €;67,07 €;0,28 €  /  0,87 €  ( 32.69% )
ene-21;Basketball - Brazil - NBB;Basketball;Over/Under points in Match;80;81;109;0,00 €;24,80 €;756,74 €;849,34 €;67,80 €;8.22%;0,00 €;781,54 €;2,68 €  /  19,81 €  ( 13.55% )
ene-21;Basketball - Brazil - NBB;Basketball;Over/Under points in Quarter;36;40;41;0,00 €;0,00 €;759,72 €;511,45 €;-248,27 €;-48.54% ;0,00 €;759,72 €;-0,05 €  /  0,16 €  ( -27.89% )
ene-21;Volleyball - Croatia - 1st League;Volleyball;Who will win the set ?;1;1;1;0,00 €;0,00 €;0,35 €;0,23 €;-0,12 €;-50.00% ;0,00 €;0,35 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Volleyball - Croatia - 1st League;Volleyball;2-Way;0;0;2;0,00 €;0,00 €;0,00 €;0,06 €;0,06 €;100.00%;0,00 €;0,00 €;0,03 €  /  0,05 €  ( 57.73% )
ene-21;Basketball - Poland - PLK;Basketball;Over/Under points at Half-time;8;8;8;0,00 €;0,00 €;171,90 €;173,70 €;1,79 €;1.03%;0,00 €;171,90 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Costa Rica - Primera Division, Clausura;Football;Correct Score AAMS;2;2;2;0,00 €;0,00 €;0,00 €;2,32 €;2,32 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Costa Rica - Primera Division, Clausura;Football;Double chance;27;28;290;0,00 €;0,02 €;51,13 €;51,84 €;0,69 €;1.33%;0,27 €;51,41 €;8,69 €  /  26,46 €  ( 32.83% )
ene-21;Football - Costa Rica - Primera Division, Clausura;Football;Highest scoring half?;0;0;1;0,00 €;0,00 €;0,00 €;0,09 €;0,09 €;100.00%;0,00 €;0,00 €;0,04 €  /  0,09 €  ( 49.34% )
ene-21;Football - Costa Rica - Primera Division, Clausura;Football;Who scores next ?;7;8;13;0,00 €;0,00 €;20,37 €;73,55 €;53,17 €;72.30%;0,00 €;20,37 €;0,38 €  /  1,66 €  ( 22.95% )
ene-21;Football - Costa Rica - Primera Division, Clausura;Football;How many goals will team X score?;0;0;1;0,00 €;0,00 €;0,00 €;0,14 €;0,14 €;100.00%;0,00 €;0,00 €;0,04 €  /  0,14 €  ( 30.85% )
ene-21;Handball - Russia - Super League, Women;Handball;3-Way;1;1;1;0,00 €;0,00 €;0,00 €;4,63 €;4,63 €;100.00%;0,00 €;0,00 €;4,20 €  /  4,63 €  ( 90.69% )
ene-21;Football - Saudi Arabia - Saudi Prof. League;Football;3-Way;139;142;519;0,00 €;0,00 €;942,52 €;792,52 €;-150,00 €;-18.93% ;1,40 €;943,92 €;15,38 €  /  235,42 €  ( 6.53% )
ene-21;Football - South Africa - Premier Soccer League;Football;Double chance;20;21;82;0,00 €;115,46 €;537,71 €;472,79 €;-180,38 €;-50.48% ;0,23 €;653,39 €;34,73 €  /  444,38 €  ( 7.82% )
ene-21;Football - Kuwait - Kuwait League;Football;Remaining time 3-way;1;1;2;0,00 €;0,00 €;0,00 €;0,25 €;0,25 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Republic of Korea - KBL;Basketball;Handicap;7;7;10;0,00 €;0,00 €;100,55 €;69,77 €;-30,78 €;-44.11% ;0,00 €;100,55 €;0,40 €  /  3,64 €  ( 10.87% )
ene-21;Football - Tunisia - Ligue 1;Football;Over/Under per team;1;1;2;0,00 €;0,00 €;13,35 €;6,95 €;-6,40 €;-92.07% ;0,00 €;13,35 €;0,17 €  /  2,32 €  ( 7.51% )
ene-21;Football - Nicaragua - Primera Division;Football;Double chance;11;12;71;0,00 €;0,00 €;7,34 €;30,37 €;23,03 €;75.82%;0,00 €;7,34 €;1,18 €  /  23,61 €  ( 4.98% )
ene-21;Football - Nicaragua - Primera Division;Football;Remaining time 3-way;4;4;12;0,00 €;0,00 €;5,84 €;13,48 €;7,64 €;56.68%;0,00 €;5,84 €;0,02 €  /  0,12 €  ( 17.88% )
ene-21;Football - El Salvador - Primera Division;Football;Who wins the half?;4;4;10;0,00 €;0,00 €;8,38 €;31,80 €;23,42 €;73.65%;0,00 €;8,38 €;0,37 €  /  2,47 €  ( 15.14% )
ene-21;Volleyball - Serbia - Superliga;Volleyball;2-Way;3;3;10;0,00 €;0,00 €;0,36 €;36,15 €;35,79 €;99.01%;0,00 €;0,36 €;0,22 €  /  0,37 €  ( 59.67% )
ene-21;Volleyball - International - Club Friendly Games;Volleyball;Number of points in match;1;1;1;0,00 €;0,00 €;0,00 €;5,79 €;5,79 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Thailand - Thai League 1;Football;3-Way;1;1;13;0,00 €;0,00 €;0,00 €;4,12 €;4,12 €;100.00%;0,00 €;0,00 €;0,04 €  /  0,10 €  ( 45.62% )
ene-21;Football - Thailand - Thai League 1;Football;Remaining time 3-way;0;0;1;0,00 €;0,00 €;0,00 €;0,02 €;0,02 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Guatemala - Liga Nacional, Apertura Playoffs;Football;Who scores next ?;2;2;2;0,00 €;0,00 €;2,29 €;1,39 €;-0,90 €;-65.00% ;0,00 €;2,29 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Guatemala - Liga Nacional, Apertura Playoffs;Football;Over/Under rest of the game;6;6;14;0,00 €;0,00 €;9,39 €;13,78 €;4,39 €;31.85%;0,00 €;9,39 €;0,33 €  /  4,31 €  ( 7.56% )
ene-21;Football - Guatemala - Liga Nacional, Apertura Playoffs;Football;3-Way;28;28;144;0,00 €;0,00 €;21,75 €;41,04 €;19,29 €;47.01%;0,41 €;22,16 €;4,53 €  /  21,88 €  ( 20.70% )
ene-21;Football - Iraq - Iraqi League;Football;3-Way;19;19;51;0,00 €;11,82 €;19,21 €;49,87 €;18,84 €;49.50%;0,01 €;31,04 €;0,08 €  /  2,01 €  ( 4.17% )
ene-21;Volleyball - Republic of Korea - V League, Women;Volleyball;Who will win the set ?;6;6;6;0,00 €;0,00 €;4,70 €;172,39 €;167,69 €;97.27%;0,00 €;4,70 €;0,28 €  /  3,56 €  ( 7.85% )
ene-21;Football - Malta - First Division;Football;Double chance;4;4;26;0,00 €;0,00 €;15,28 €;12,91 €;-2,37 €;-18.35% ;0,00 €;15,29 €;0,60 €  /  3,47 €  ( 17.28% )
ene-21;Football - Malta - First Division;Football;Who scores next ?;2;2;3;0,00 €;0,00 €;0,06 €;0,50 €;0,44 €;87.66%;0,00 €;0,06 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Germany - 3. Liga;Football;Who wins the half?;14;14;34;0,00 €;0,00 €;146,05 €;98,09 €;-47,96 €;-48.90% ;0,02 €;146,08 €;9,05 €  /  51,28 €  ( 17.65% )
ene-21;Football - Germany Amateur - Regionalliga West;Football;Who scores next ?;1;1;1;0,00 €;0,00 €;0,06 €;0,04 €;-0,02 €;-50.00% ;0,00 €;0,06 €;0,00 €  /  0,00 €  ( 0.00% )
